Algorithm,Params,EvaluationMethod,TP,FP,FN,Precision,Recall,F1-Score,GT_Relevant,Predicted_Boxes,Timestamp,Seed,TotalSimTime,NumInitialObstacles,AgentSpeed,LiDAR_Range,PaddingCells,ClusteringTime_sec,LiDAR_Noise_Enabled,LiDAR_Noise_Level
KMEANS,"{'n_clusters': 59, 'random_state': 1, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,36,13,23,0.735,0.61,0.667,59,49,2025-05-22 12:37:47,1,20.0,60,20,30,1,,,
GMM,"{'n_components': 59, 'covariance_type': 'full', 'random_state': 1}",2D_CENTER_IN_GT_AREA,31,5,28,0.861,0.525,0.653,59,36,2025-05-22 12:37:47,1,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,27,6,32,0.818,0.458,0.587,59,33,2025-05-22 12:37:47,1,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,27,8,32,0.771,0.458,0.574,59,35,2025-05-22 12:37:47,1,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 59, 'random_state': 1, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,33,16,26,0.673,0.559,0.611,59,49,2025-05-22 12:37:47,1,20.0,60,20,30,1,,,
GMM,"{'n_components': 59, 'covariance_type': 'full', 'random_state': 1}",2D_AREA_OVERLAP_RATIO,29,7,30,0.806,0.492,0.611,59,36,2025-05-22 12:37:47,1,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,16,19,39,0.457,0.291,0.356,55,35,2025-05-22 12:37:58,1,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,14,18,41,0.438,0.255,0.322,55,32,2025-05-22 12:37:58,1,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 55, 'random_state': 1, 'n_init': 'auto'}",3D_IOU,12,35,43,0.255,0.218,0.235,55,47,2025-05-22 12:37:58,1,20.0,60,20,30,1,,,
GMM,"{'n_components': 55, 'covariance_type': 'full', 'random_state': 1}",3D_IOU,14,25,41,0.359,0.255,0.298,55,39,2025-05-22 12:37:58,1,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,33,2,22,0.943,0.6,0.733,55,35,2025-05-22 12:37:58,1,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,26,6,29,0.812,0.473,0.598,55,32,2025-05-22 12:37:58,1,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 55, 'random_state': 1, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,32,15,23,0.681,0.582,0.627,55,47,2025-05-22 12:37:58,1,20.0,60,20,30,1,,,
GMM,"{'n_components': 55, 'covariance_type': 'full', 'random_state': 1}",2D_CENTER_IN_GT_AREA,30,9,25,0.769,0.545,0.638,55,39,2025-05-22 12:37:58,1,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,31,4,24,0.886,0.564,0.689,55,35,2025-05-22 12:37:58,1,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,30,2,25,0.938,0.545,0.69,55,32,2025-05-22 12:37:58,1,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 55, 'random_state': 1, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,36,11,19,0.766,0.655,0.706,55,47,2025-05-22 12:37:58,1,20.0,60,20,30,1,,,
GMM,"{'n_components': 55, 'covariance_type': 'full', 'random_state': 1}",2D_AREA_OVERLAP_RATIO,34,5,21,0.872,0.618,0.723,55,39,2025-05-22 12:37:58,1,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,25,19,35,0.568,0.417,0.481,60,44,2025-05-22 12:39:27,1,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,20,24,40,0.455,0.333,0.385,60,44,2025-05-22 12:39:27,1,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 60, 'random_state': 1, 'n_init': 'auto'}",3D_IOU,16,39,44,0.291,0.267,0.278,60,55,2025-05-22 12:39:27,1,20.0,60,20,30,1,,,
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 1}",3D_IOU,18,32,42,0.36,0.3,0.327,60,50,2025-05-22 12:39:27,1,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,41,3,19,0.932,0.683,0.788,60,44,2025-05-22 12:39:27,1,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,37,7,23,0.841,0.617,0.712,60,44,2025-05-22 12:39:27,1,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 60, 'random_state': 1, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,38,17,22,0.691,0.633,0.661,60,55,2025-05-22 12:39:27,1,20.0,60,20,30,1,,,
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 1}",2D_CENTER_IN_GT_AREA,38,12,22,0.76,0.633,0.691,60,50,2025-05-22 12:39:27,1,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,42,2,18,0.955,0.7,0.808,60,44,2025-05-22 12:39:27,1,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,40,4,20,0.909,0.667,0.769,60,44,2025-05-22 12:39:27,1,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 60, 'random_state': 1, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,43,12,17,0.782,0.717,0.748,60,55,2025-05-22 12:39:27,1,20.0,60,20,30,1,,,
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 1}",2D_AREA_OVERLAP_RATIO,43,7,17,0.86,0.717,0.782,60,50,2025-05-22 12:39:27,1,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,20,16,40,0.556,0.333,0.417,60,36,2025-05-22 12:39:46,5,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,13,25,47,0.342,0.217,0.265,60,38,2025-05-22 12:39:46,5,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 60, 'random_state': 5, 'n_init': 'auto'}",3D_IOU,14,40,46,0.259,0.233,0.246,60,54,2025-05-22 12:39:46,5,20.0,60,20,30,1,,,
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 5}",3D_IOU,17,26,43,0.395,0.283,0.33,60,43,2025-05-22 12:39:46,5,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,34,2,26,0.944,0.567,0.708,60,36,2025-05-22 12:39:46,5,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,30,8,30,0.789,0.5,0.612,60,38,2025-05-22 12:39:46,5,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 60, 'random_state': 5, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,33,21,27,0.611,0.55,0.579,60,54,2025-05-22 12:39:46,5,20.0,60,20,30,1,,,
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 5}",2D_CENTER_IN_GT_AREA,33,10,27,0.767,0.55,0.641,60,43,2025-05-22 12:39:46,5,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,34,2,26,0.944,0.567,0.708,60,36,2025-05-22 12:39:46,5,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,31,7,29,0.816,0.517,0.633,60,38,2025-05-22 12:39:46,5,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 60, 'random_state': 5, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,40,14,20,0.741,0.667,0.702,60,54,2025-05-22 12:39:46,5,20.0,60,20,30,1,,,
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 5}",2D_AREA_OVERLAP_RATIO,38,5,22,0.884,0.633,0.738,60,43,2025-05-22 12:39:46,5,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,20,21,40,0.488,0.333,0.396,60,41,2025-05-22 13:22:58,1,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,13,31,47,0.295,0.217,0.25,60,44,2025-05-22 13:22:58,1,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 60, 'random_state': 1, 'n_init': 'auto'}",3D_IOU,16,41,44,0.281,0.267,0.274,60,57,2025-05-22 13:22:58,1,20.0,60,20,30,1,,,
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 1}",3D_IOU,17,29,43,0.37,0.283,0.321,60,46,2025-05-22 13:22:58,1,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,38,3,22,0.927,0.633,0.752,60,41,2025-05-22 13:22:58,1,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,35,9,25,0.795,0.583,0.673,60,44,2025-05-22 13:22:58,1,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 60, 'random_state': 1, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,44,13,16,0.772,0.733,0.752,60,57,2025-05-22 13:22:58,1,20.0,60,20,30,1,,,
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 1}",2D_CENTER_IN_GT_AREA,38,8,22,0.826,0.633,0.717,60,46,2025-05-22 13:22:58,1,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,39,2,21,0.951,0.65,0.772,60,41,2025-05-22 13:22:58,1,20.0,60,20,30,1,,,
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,37,7,23,0.841,0.617,0.712,60,44,2025-05-22 13:22:58,1,20.0,60,20,30,1,,,
KMEANS,"{'n_clusters': 60, 'random_state': 1, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,45,12,15,0.789,0.75,0.769,60,57,2025-05-22 13:22:58,1,20.0,60,20,30,1,,,
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 1}",2D_AREA_OVERLAP_RATIO,41,5,19,0.891,0.683,0.774,60,46,2025-05-22 13:22:58,1,20.0,60,20,30,1,,,
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,14,24,46,0.368,0.233,0.286,60,38,2025-05-22 13:41:32,1,20.0,60,20,30,1,0.0151,False,0.0
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,12,30,48,0.286,0.2,0.235,60,42,2025-05-22 13:41:32,1,20.0,60,20,30,1,0.0505,False,0.0
KMEANS,"{'n_clusters': 60, 'random_state': 1, 'n_init': 'auto'}",3D_IOU,14,31,46,0.311,0.233,0.267,60,45,2025-05-22 13:41:32,1,20.0,60,20,30,1,0.054,False,0.0
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 1}",3D_IOU,12,31,48,0.279,0.2,0.233,60,43,2025-05-22 13:41:32,1,20.0,60,20,30,1,0.1786,False,0.0
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,36,2,24,0.947,0.6,0.735,60,38,2025-05-22 13:41:32,1,20.0,60,20,30,1,0.0147,False,0.0
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,35,7,25,0.833,0.583,0.686,60,42,2025-05-22 13:41:32,1,20.0,60,20,30,1,0.0391,False,0.0
KMEANS,"{'n_clusters': 60, 'random_state': 1, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,37,8,23,0.822,0.617,0.705,60,45,2025-05-22 13:41:32,1,20.0,60,20,30,1,0.0175,False,0.0
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 1}",2D_CENTER_IN_GT_AREA,36,7,24,0.837,0.6,0.699,60,43,2025-05-22 13:41:32,1,20.0,60,20,30,1,0.1806,False,0.0
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,34,4,26,0.895,0.567,0.694,60,38,2025-05-22 13:41:32,1,20.0,60,20,30,1,0.0154,False,0.0
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,35,7,25,0.833,0.583,0.686,60,42,2025-05-22 13:41:32,1,20.0,60,20,30,1,0.0389,False,0.0
KMEANS,"{'n_clusters': 60, 'random_state': 1, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,42,3,18,0.933,0.7,0.8,60,45,2025-05-22 13:41:32,1,20.0,60,20,30,1,0.0168,False,0.0
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 1}",2D_AREA_OVERLAP_RATIO,40,3,20,0.93,0.667,0.777,60,43,2025-05-22 13:41:32,1,20.0,60,20,30,1,0.1963,False,0.0
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,19,23,41,0.452,0.317,0.373,60,42,2025-05-22 13:41:38,1,20.0,60,20,30,1,0.0172,False,0.0
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,14,31,46,0.311,0.233,0.267,60,45,2025-05-22 13:41:38,1,20.0,60,20,30,1,0.0555,False,0.0
KMEANS,"{'n_clusters': 60, 'random_state': 1, 'n_init': 'auto'}",3D_IOU,16,35,44,0.314,0.267,0.288,60,51,2025-05-22 13:41:38,1,20.0,60,20,30,1,0.0261,False,0.0
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 1}",3D_IOU,14,34,46,0.292,0.233,0.259,60,48,2025-05-22 13:41:38,1,20.0,60,20,30,1,0.3131,False,0.0
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,40,2,20,0.952,0.667,0.784,60,42,2025-05-22 13:41:38,1,20.0,60,20,30,1,0.0132,False,0.0
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,38,7,22,0.844,0.633,0.724,60,45,2025-05-22 13:41:38,1,20.0,60,20,30,1,0.0438,False,0.0
KMEANS,"{'n_clusters': 60, 'random_state': 1, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,38,13,22,0.745,0.633,0.685,60,51,2025-05-22 13:41:38,1,20.0,60,20,30,1,0.0201,False,0.0
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 1}",2D_CENTER_IN_GT_AREA,35,13,25,0.729,0.583,0.648,60,48,2025-05-22 13:41:38,1,20.0,60,20,30,1,0.3089,False,0.0
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,37,5,23,0.881,0.617,0.725,60,42,2025-05-22 13:41:38,1,20.0,60,20,30,1,0.0127,False,0.0
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,37,8,23,0.822,0.617,0.705,60,45,2025-05-22 13:41:38,1,20.0,60,20,30,1,0.0433,False,0.0
KMEANS,"{'n_clusters': 60, 'random_state': 1, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,43,8,17,0.843,0.717,0.775,60,51,2025-05-22 13:41:38,1,20.0,60,20,30,1,0.0204,False,0.0
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 1}",2D_AREA_OVERLAP_RATIO,39,9,21,0.812,0.65,0.722,60,48,2025-05-22 13:41:38,1,20.0,60,20,30,1,0.3454,False,0.0
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,21,17,39,0.553,0.35,0.429,60,38,2025-05-22 13:43:57,1,20.0,60,20,30,1,0.021,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,19,23,41,0.452,0.317,0.373,60,42,2025-05-22 13:43:57,1,20.0,60,20,30,1,0.0761,True,0.05
KMEANS,"{'n_clusters': 60, 'random_state': 1, 'n_init': 'auto'}",3D_IOU,13,41,47,0.241,0.217,0.228,60,54,2025-05-22 13:43:57,1,20.0,60,20,30,1,0.1268,True,0.05
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 1}",3D_IOU,16,27,44,0.372,0.267,0.311,60,43,2025-05-22 13:43:57,1,20.0,60,20,30,1,0.5174,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,37,1,23,0.974,0.617,0.755,60,38,2025-05-22 13:43:57,1,20.0,60,20,30,1,0.0166,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,34,8,26,0.81,0.567,0.667,60,42,2025-05-22 13:43:57,1,20.0,60,20,30,1,0.0591,True,0.05
KMEANS,"{'n_clusters': 60, 'random_state': 1, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,35,19,25,0.648,0.583,0.614,60,54,2025-05-22 13:43:57,1,20.0,60,20,30,1,0.0216,True,0.05
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 1}",2D_CENTER_IN_GT_AREA,34,9,26,0.791,0.567,0.66,60,43,2025-05-22 13:43:57,1,20.0,60,20,30,1,0.5337,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,36,2,24,0.947,0.6,0.735,60,38,2025-05-22 13:43:57,1,20.0,60,20,30,1,0.0172,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,36,6,24,0.857,0.6,0.706,60,42,2025-05-22 13:43:57,1,20.0,60,20,30,1,0.0654,True,0.05
KMEANS,"{'n_clusters': 60, 'random_state': 1, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,37,17,23,0.685,0.617,0.649,60,54,2025-05-22 13:43:57,1,20.0,60,20,30,1,0.0188,True,0.05
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 1}",2D_AREA_OVERLAP_RATIO,37,6,23,0.86,0.617,0.718,60,43,2025-05-22 13:43:57,1,20.0,60,20,30,1,0.531,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,20,14,39,0.588,0.339,0.43,59,34,2025-05-22 13:44:49,5,20.0,60,20,30,1,0.017,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,15,23,44,0.395,0.254,0.309,59,38,2025-05-22 13:44:49,5,20.0,60,20,30,1,0.0635,True,0.05
KMEANS,"{'n_clusters': 59, 'random_state': 5, 'n_init': 'auto'}",3D_IOU,13,36,46,0.265,0.22,0.241,59,49,2025-05-22 13:44:49,5,20.0,60,20,30,1,0.0271,True,0.05
GMM,"{'n_components': 59, 'covariance_type': 'full', 'random_state': 5}",3D_IOU,14,30,45,0.318,0.237,0.272,59,44,2025-05-22 13:44:49,5,20.0,60,20,30,1,0.2634,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,32,2,27,0.941,0.542,0.688,59,34,2025-05-22 13:44:49,5,20.0,60,20,30,1,0.0126,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,29,9,30,0.763,0.492,0.598,59,38,2025-05-22 13:44:49,5,20.0,60,20,30,1,0.0417,True,0.05
KMEANS,"{'n_clusters': 59, 'random_state': 5, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,36,13,23,0.735,0.61,0.667,59,49,2025-05-22 13:44:49,5,20.0,60,20,30,1,0.0175,True,0.05
GMM,"{'n_components': 59, 'covariance_type': 'full', 'random_state': 5}",2D_CENTER_IN_GT_AREA,35,9,24,0.795,0.593,0.68,59,44,2025-05-22 13:44:49,5,20.0,60,20,30,1,0.2929,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,32,2,27,0.941,0.542,0.688,59,34,2025-05-22 13:44:49,5,20.0,60,20,30,1,0.0122,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,30,8,29,0.789,0.508,0.619,59,38,2025-05-22 13:44:49,5,20.0,60,20,30,1,0.045,True,0.05
KMEANS,"{'n_clusters': 59, 'random_state': 5, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,35,14,24,0.714,0.593,0.648,59,49,2025-05-22 13:44:49,5,20.0,60,20,30,1,0.02,True,0.05
GMM,"{'n_components': 59, 'covariance_type': 'full', 'random_state': 5}",2D_AREA_OVERLAP_RATIO,34,10,25,0.773,0.576,0.66,59,44,2025-05-22 13:44:49,5,20.0,60,20,30,1,0.2549,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,13,23,47,0.361,0.217,0.271,60,36,2025-05-22 13:45:07,8,20.0,60,20,30,1,0.0264,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,7,37,53,0.159,0.117,0.135,60,44,2025-05-22 13:45:07,8,20.0,60,20,30,1,0.0757,True,0.05
KMEANS,"{'n_clusters': 60, 'random_state': 8, 'n_init': 'auto'}",3D_IOU,8,40,52,0.167,0.133,0.148,60,48,2025-05-22 13:45:07,8,20.0,60,20,30,1,0.0282,True,0.05
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 8}",3D_IOU,9,35,51,0.205,0.15,0.173,60,44,2025-05-22 13:45:07,8,20.0,60,20,30,1,0.2623,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,36,0,24,1.0,0.6,0.75,60,36,2025-05-22 13:45:07,8,20.0,60,20,30,1,0.0191,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,27,17,33,0.614,0.45,0.519,60,44,2025-05-22 13:45:07,8,20.0,60,20,30,1,0.058,True,0.05
KMEANS,"{'n_clusters': 60, 'random_state': 8, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,36,12,24,0.75,0.6,0.667,60,48,2025-05-22 13:45:07,8,20.0,60,20,30,1,0.02,True,0.05
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 8}",2D_CENTER_IN_GT_AREA,36,8,24,0.818,0.6,0.692,60,44,2025-05-22 13:45:07,8,20.0,60,20,30,1,0.2941,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,31,5,29,0.861,0.517,0.646,60,36,2025-05-22 13:45:07,8,20.0,60,20,30,1,0.0197,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,27,17,33,0.614,0.45,0.519,60,44,2025-05-22 13:45:07,8,20.0,60,20,30,1,0.0584,True,0.05
KMEANS,"{'n_clusters': 60, 'random_state': 8, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,36,12,24,0.75,0.6,0.667,60,48,2025-05-22 13:45:07,8,20.0,60,20,30,1,0.019,True,0.05
GMM,"{'n_components': 60, 'covariance_type': 'full', 'random_state': 8}",2D_AREA_OVERLAP_RATIO,36,8,24,0.818,0.6,0.692,60,44,2025-05-22 13:45:07,8,20.0,60,20,30,1,0.2978,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,14,21,45,0.4,0.237,0.298,59,35,2025-05-22 13:45:20,7,20.0,60,20,30,1,0.0135,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,13,28,46,0.317,0.22,0.26,59,41,2025-05-22 13:45:20,7,20.0,60,20,30,1,0.0536,True,0.05
KMEANS,"{'n_clusters': 59, 'random_state': 7, 'n_init': 'auto'}",3D_IOU,12,34,47,0.261,0.203,0.229,59,46,2025-05-22 13:45:20,7,20.0,60,20,30,1,0.0272,True,0.05
GMM,"{'n_components': 59, 'covariance_type': 'full', 'random_state': 7}",3D_IOU,13,31,46,0.295,0.22,0.252,59,44,2025-05-22 13:45:20,7,20.0,60,20,30,1,0.2401,True,0.05
